,word,type,cefr,phon_br,phon_n_am,translation,definition,example
52,accusation,noun,c1,/??kju?ze??n/,/??kju?ze??n/,信念（强烈感到某事物存在或真实；对某事物的信心）,a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody,I don't want to make an accusation until I have some proof.
53,accuse,verb,b2,/??kju?z/,/??kju?z/,相信（确定某事为真或某人说的是真话）,to say that somebody has done something wrong or is guilty of something,"accuse somebody of something, to accuse somebody of murder/a crime"
54,accused,noun,c1,/ei ??kju?zd/,/ei ??kju?zd/,钟，铃（金属制的中空物，撞击时发出响声；其发出的声音）,a person who is on trial for committing a crime,The accused was found innocent.
55,achieve,verb,a2,/??t?i?v/,/??t?i?v/,属于，应在（处于正确或合适的位置）,"to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time",He had finally achieved success.
56,achievement,noun,b1,/??t?i?vm?nt/,/??t?i?vm?nt/,深爱的（深受喜爱的）,"a thing that somebody has done successfully, especially using their own effort and skill",the greatest scientific achievement of the decade
57,acid,adjective,c1,/??s?d/,/??s?d/,在下面（处于较低的水平、位置或地方）,that contains acid or has the essential characteristics of an acid; that has a pH of less than seven,"Rye is tolerant of poor, acid soils."
58,acid,noun,b2,/??s?d/,/??s?d/,在...下方（处于比某人/某物更低的水准或位置）,"a chemical, usually a liquid, that contains hydrogen and has a pH of less than seven. The hydrogen can be replaced by a metal to form a salt. Acids usually have a bitter sharp taste and can often burn holes in or damage things they touch.",The acid burned a hole in her coat.
59,acknowledge,verb,b2,/?k?n?l?d?/,/?k?nɑ?l?d?/,腰带（系在腰部的长条皮革、布料等）,to accept that something is true,"acknowledge something, She refuses to acknowledge the need for reform."
60,acquire,verb,b2,/??kwa??(r)/,/??kwa??r/,长凳（可供两人或多人坐的长椅，通常由木头制成）,"to gain something by your own efforts, ability or behaviour",She has acquired a good knowledge of English.
61,acquisition,noun,c1,/??kw??z??n/,/??kw??z??n/,基准（可测量并作为标准的参考物，用于比较其他事物）,"the act of getting something, especially knowledge, a skill, etc.",theories of child language acquisition
62,acre,noun,c1,/?e?k?(r)/,/?e?k?r/,弯曲，转弯（尤指道路或河流的曲线或拐弯处）,a unit for measuring an area of land; 4?840 square yards or about 4?050 square metres,3?000 acres of parkland
63,across,adverb,a1,/??kr?s/,/??kr??s/,弯曲，倾向（使身体或某物向特定方向倾斜）,from one side to the other side,It's too wide. We can't swim across.
64,across,preposition,a1,/??kr?s/,/??kr??s/,在...下方（在比某人/某物更低的位置；在...下面）,from one side to the other side of something,He walked across the field.
65,act,noun,b1,/?kt/,/?kt/,有益的（改善情况的；具有帮助或有用效果的）,a particular thing that somebody does,You have committed a serious criminal act.
66,act,verb,a2,/?kt/,/?kt/,受益者（因某事而获得利益的人）,to do something for a particular purpose or in order to deal with a situation,"act to do something, It is vital that we act to stop the destruction of the rainforests."
67,action,noun,a1,/??k?n/,/??k?n/,利益，好处（某事给予你的优势；某事具有的帮助和有用效果）,the process of doing something in order to make something happen or to deal with a situation,The time has come for action if these beautiful animals are to survive.
68,activate,verb,b2,/??kt?ve?t/,/??kt?ve?t/,使受益，改善（对某人有用或以某种方式改善其生活）,to make something such as a device or chemical process start working,The burglar alarm is activated by movement.
69,activation,noun,c1,/??kt??ve??n/,/??kt??ve??n/,弯曲的（不直的）,the act of making something such as a device or chemical process start working,The activation of several target genes results in two major effects.
70,active,adjective,a2,/??kt?v/,/??kt?v/,在旁边（紧挨着或在某人/某事的侧面）,"always busy doing things, especially physical activities",Staying physically active in later years can also keep you feeling younger. 
71,activist,noun,c1,/??kt?v?st/,/??kt?v?st/,此外，而且（用于发表补充刚才所说内容的额外评论）,"a person who works to achieve political or social change, especially as a member of an organization with particular aims",human/civil/animal rights activists
72,activity,noun,a1,/?k?t?v?ti/,/?k?t?v?ti/,除...之外（除了某人/某物之外；另外）,a thing that you do for interest or pleasure,leisure/outdoor/recreational activities
73,actor,noun,a1,/??kt?(r)/,/??kt?r/,中心的（在某个区域或物体的中央）,"a person who performs on the stage, on television or in films, especially as a profession",Both lead actors (= the ones who play the main parts) are outstanding.
74,actress,noun,a1,/??ktr?s/,/??ktr?s/,最好地（最大程度地）,"a woman who performs on the stage, on television or in films, especially as a profession",The Oscar-winning actress has taken a break from acting.
75,actual,adjective,b2,/??kt?u?l/,/??kt?u?l/,最好的（最优秀的物或人）,used to emphasize something that is real or exists in fact,James looks younger than his wife but in actual fact (= really) he is five years older.
76,actually,adverb,a2,/??kt?u?li/,/??kt?u?li/,赌注（在特定事件结果上冒险投注金钱的安排；所下赌金）,"used in speaking to emphasize a fact or a comment, or that something is really true",What did she actually say?
77,acute,adjective,c1,/??kju?t/,/??kju?t/,打赌（通过预测比赛或事件结果来冒险投注金钱）,very serious or severe,There is an acute shortage of water.
78,ad,noun,b1,/?d/,/?d/,背叛（向敌人提供关于某人/某事的信息）,"a notice, picture or film telling people about a product, job or service",The TV ads were first run last year.
79,adapt,verb,b2,/??d?pt/,/??d?pt/,更好的（更高标准或质量的；不像其他那么坏的）,to change your behaviour in order to deal more successfully with a new situation,It's amazing how soon you adapt.
80,adaptation,noun,c1,/??d?p?te??n/,/??d?p?te??n/,更好地（以更优秀或更愉快的方式；不像那么糟糕地）,"the action or process of changing something, or of being changed, to suit a new purpose or situation",the adaptation of buildings for military purposes
81,add,verb,a1,/?d/,/?d/,更好的事物（两个中较好的那个）,"to put something together with something else so as to increase the size, number, amount, etc.","add something, Next add the flour."
82,addiction,noun,b2,/??d?k?n/,/??d?k?n/,在...之间（在分隔两个或多个点、物、时间、事件等的中间）,"the condition of being unable to stop using or doing something as a habit, especially something harmful",cocaine addiction
83,addition,noun,b1,/??d??n/,/??d??n/,在...之间（进入分隔两个或更多点、物、人的空间）,a thing that is added to something else,All of these technologies are fairly recent additions.
84,additional,adjective,b2,/??d???nl/,/??d???nl/,在另一边，更远（在另一侧；在更远的地方）,more than was first mentioned or is usual,additional resources/funds/security/funding/costs
85,additionally,adverb,b2,/??d???n?li/,/??d???n?li/,在...那一边（在或到某物更远的一侧）,in a way that is more than was first mentioned or is usual,"Additionally, the bus service will run on Sundays, every two hours."
86,address,noun,a1,/??dres/,/??dres/,偏见（对某群体或某方持有的强烈好感或反感，通常非基于公正判断）,"details of where somebody lives or works and where letters, etc. can be sent",What's your name and address?
87,address,verb,b2,/??dres/,/??dres/,自行车（通过脚蹬踏板骑行的两轮道路车辆）,to think about a problem or a situation and decide how you are going to deal with it,"address something, Your essay does not address the real issues."
88,adequate,adjective,b2,/??d?kw?t/,/??d?kw?t/,出价，投标（个人或公司为某物支付特定金额的提议）,"enough in quantity, or good enough in quality, for a particular purpose or need",They'll need an adequate supply of hot water.
89,adequately,adverb,b2,/??d?kw?tli/,/??d?kw?tli/,出价（提议支付特定价格，尤指在拍卖会上）,"in a way that is enough in quantity, or good enough in quality, for a particular purpose or need",Are you adequately insured?
90,adhere,verb,c1,/?d?h??(r)/,/?d?h?r/,大的（在尺寸、程度、数量等方面很大）,to stick to something,"Once in the bloodstream, the bacteria adhere to the surface of the red cells."
91,adjacent,adjective,c1,/??d?e?snt/,/??d?e?snt/,自行车（自行车）,next to something,The planes landed on adjacent runways.
92,adjust,verb,b2,/??d??st/,/??d??st/,账单（显示欠他人商品或服务费用的单据）,to change something slightly to make it more suitable for a new set of conditions or to make it work better,"adjust something, Watch out for sharp bends and adjust your speed accordingly."
93,adjustment,noun,c1,/??d??stm?nt/,/??d??stm?nt/,开账单（给某人寄送某物的账单）,a small change made to something in order to correct or improve it,I've made a few adjustments to the design.
94,administer,verb,c1,/?d?m?n?st?(r)/,/?d?m?n?st?r/,"十亿（1,000,000,000；十个亿）","to manage and organize the affairs of a company, an organization, a country, etc.",to administer a charity/fund/school
95,administration,noun,b2,/?d?m?n??stre??n/,/?d?m?n??stre??n/,垃圾箱（放置废弃物的容器）,"the activities that are done in order to plan, organize and run a business, school or other institution",Administration costs are passed on to the customer.
96,administrative,adjective,c1,/?d?m?n?str?t?v/,/?d?m?n?stre?t?v/,捆绑，系（用绳、线等系住某人/某物使其不能移动或紧密结合）,connected with organizing the work of a business or an institution,an administrative job/assistant/error
97,administrator,noun,c1,/?d?m?n?stre?t?(r)/,/?d?m?n?stre?t?r/,传记（由他人撰写的某人一生的故事；这种文体）,"a person whose job is to manage and organize the public or business affairs of a company or an institution, or a person who works in an office dealing with records, accounts, etc.",Such organizational decisions are made by the hospital administrators.
98,admire,verb,b1,/?d?ma??(r)/,/?d?ma??r/,生物的（与生物科学有关的）,to respect somebody for what they have done or to respect their qualities,"admire somebody/something, I really admire your enthusiasm."
99,admission,noun,c1,/?d?m??n/,/?d?m??n/,生物学（关于植物和动物生命与结构的科学研究）,"the act of accepting somebody into an institution, organization, etc.; the right to enter a place or to join an institution or organization",Hospital admission is not necessary in most cases.
100,admit,verb,b1,/?d?m?t/,/?d?m?t/,承认（同意某事是真实的，通常是不情愿地）,"to agree, often unwillingly, that something is true","It was a stupid thing to do, I admit."
101,adolescent,noun,c1,/??d??lesnt/,/??d??lesnt/,青少年（正从儿童成长为成年人的年轻人）,a young person who is developing from a child into an adult,adolescents between the ages of 13 and 18 and the problems they face
102,adopt,verb,b2,/??d?pt/,/??dɑ?pt/,收养（领养他人的孩子并成为其法定父母）,to take somebody else’s child into your family and become its legal parent(s),a campaign to encourage childless couples to adopt
103,adoption,noun,c1,/??d?p?n/,/??dɑ?p?n/,收养（收养孩子的行为或被收养的事实）,the act of adopting a child; the fact of being adopted,She put the baby up for adoption.
104,adult,adjective,a2,/??d?lt/,/??d?lt/,成年的（完全长成或发育的）,fully grown or developed,preparing young people for adult life
105,adult,noun,a1,/??d?lt/,/??d?lt/,成年人（在法律上对其行为负责的完全长成的人）,a fully grown person who is legally responsible for their actions,Children must be accompanied by an adult.
106,advance,adjective,b2,/?d?vɑ?ns/,/?d?v?ns/,预先的（在某事发生之前完成或给出的）,done or given before something is going to happen,Please give us advance warning of any changes.
107,advance,noun,b2,/?d?vɑ?ns/,/?d?v?ns/,进步，发展（特定活动或理解领域的进展或开发）,progress or a development in a particular activity or area of understanding,We live in an age of rapid technological advance.
108,advance,verb,b2,/?d?vɑ?ns/,/?d?v?ns/,进步，发展（知识、技术等发展和提高）,"if knowledge, technology, etc. advances, it develops and improves",Technology is advancing at an incredibly rapid pace.
109,advanced,adjective,b1,/?d?vɑ?nst/,/?d?v?nst/,先进的，高级的（具有最现代和最近发展的思想、方法等）,"having the most modern and recently developed ideas, methods, etc.",Scientists are working on highly advanced technology to replace fossil fuels.
110,advantage,noun,a2,/?d?vɑ?nt?d?/,/?d?v?nt?d?/,优势（帮助你比他人更好或更成功的事物）,a thing that helps you to be better or more successful than other people,a distinct/significant/huge advantage
111,adventure,noun,a2,/?d?vent??(r)/,/?d?vent??r/,冒险（不寻常、刺激或危险的经历、旅行或系列事件）,"an unusual, exciting or dangerous experience, journey or series of events",her adventures travelling in Africa
112,adverse,adjective,c1,/??dv??s/,/?d?v??rs/,不利的（负面且令人不快的；不太可能产生好结果）,negative and unpleasant; not likely to produce a good result,adverse change/circumstances/weather conditions
113,advertise,verb,a2,/??dv?ta?z/,/??dv?rta?z/,登广告（向公众告知产品或服务以鼓励人们购买或使用）,to tell the public about a product or a service in order to encourage people to buy or to use it,If you want to attract customers you need to advertise.
114,advertisement,noun,a2,/?d?v??t?sm?nt/,/??dv?r?ta?zm?nt/,广告（告知人们产品、工作或服务的通告、图片或影片）,"a notice, picture or film telling people about a product, job or service",a newspaper/television advertisement
115,advertising,noun,a2,/??dv?ta?z??/,/??dv?rta?z??/,广告业（在电视、报纸、互联网等向人们宣传事物的活动和行业）,"the activity and industry of advertising things to people on television, in newspapers, on the internet, etc.",Cigarette advertising has been banned.
116,advice,noun,a1,/?d?va?s/,/?d?va?s/,建议（关于某人在特定情况下应该做什么的意见或提议）,an opinion or a suggestion about what somebody should do in a particular situation,expert/practical/professional/medical advice
117,advise,verb,b1,/?d?va?z/,/?d?va?z/,建议（告诉某人你认为他们在特定情况下应该做什么）,to tell somebody what you think they should do in a particular situation,"advise against doing something, I would strongly advise against going out on your own."
118,advocate,noun,c1,/??dv?k?t/,/??dv?k?t/,倡导者（支持或公开赞成某人、计划或行动的人）,a person who supports or speaks in favour of somebody or of a public plan or action,"advocate for something/somebody, an advocate for hospital workers"
119,advocate,verb,c1,/??dv?ke?t/,/??dv?ke?t/,提倡（公开支持某事）,to support something publicly,"advocate something, The group does not advocate the use of violence."
120,aesthetic,adjective,c1,/i?s?θet?k/,/es?θet?k/,美学的，审美的（与美、艺术及对美好事物的理解有关）,connected with beauty and art and the understanding of beautiful things,the aesthetic appeal of the songs
121,affair,noun,b2,/??fe?(r)/,/??fer/,事务（具有公众利益或政治重要性的事件）,events that are of public interest or political importance,world/international affairs
122,affect,verb,a2,/??fekt/,/??fekt/,影响（使某人或某事产生变化）,to produce a change in somebody/something,How will these changes affect us?
123,affection,noun,c1,/??fek?n/,/??fek?n/,喜爱，感情（非常喜欢或爱某人/某事并关心他们的感觉）,the feeling of liking or loving somebody/something very much and caring about them,Children need lots of love and affection.
124,afford,verb,b1,/??f??d/,/??f??rd/,负担得起（有足够的钱去买或做某事）,to have enough money to be able to buy or do something,"afford something, Can we afford a new car?"
125,affordable,adjective,b2,/??f??d?bl/,/??f??rd?bl/,负担得起的（价格足够便宜，人们付得起或买得起）,cheap enough that people can afford to pay it or buy it,We offer quality products at affordable prices.
126,afraid,adjective,a1,/??fre?d/,/??fre?d/,害怕的（感到恐惧；因认为可能受伤或受苦而惊吓）,feeling fear; frightened because you think that you might be hurt or suffer,Don't be afraid.
127,after,adverb,a2,/?ɑ?ft?(r)/,/??ft?r/,以后（在时间上较晚；后来）,later in time; afterwards,"That was in 1996. Soon after, I heard that he'd died."
128,after,conjunction,a2,/?ɑ?ft?(r)/,/??ft?r/,在...之后（在某事之后的时间；当某事结束时）,at a time later than something; when something has finished,I'll call you after I've spoken to them.
129,after,preposition,a1,/?ɑ?ft?(r)/,/??ft?r/,在...之后（在时间上晚于某事；紧随某事之后）,later than something; following something in time,We'll leave after lunch.
130,aftermath,noun,c1,/?ɑ?ft?m?θ/,/??ft?rm?θ/,后果，余波（重要且通常是不愉快事件——尤其是战争、事故等——之后存在的情况）,"the situation that exists as a result of an important (and usually unpleasant) event, especially a war, an accident, etc.","in the aftermath of something, A lot of rebuilding took place in the aftermath of the war."
131,afternoon,noun,a1,/?ɑ?ft??nu?n/,/??ft?r?nu?n/,下午（从中午12点到下午约6点的时间段）,the period of time from 12 o'clock in the middle of the day until about 6 o’clock in the evening,this/yesterday/tomorrow afternoon
132,afterwards,adverb,b2,/?ɑ?ft?w?dz/,/??ft?rw?rdz/,然后，后来（在较晚的时间；在已经提到的事件之后）,at a later time; after an event that has already been mentioned,Afterwards she was sorry for what she'd said.
133,again,adverb,a1,/??ɡen/,/??ɡen/,再次（又一次；在另一个场合）,one more time; on another occasion,This must never happen again.
134,against,preposition,a2,/??ɡenst/,/??ɡenst/,反对（反对或不同意某人/某事）,opposing or disagreeing with somebody/something,the fight against terrorism
135,age,noun,a1,/e?d?/,/e?d?/,年龄（人生活的年数或事物存在的年数）,the number of years that a person has lived or a thing has existed,You're the same age as my brother.
136,age,verb,b1,/e?d?/,/e?d?/,变老（变得更老）,to become older,"As he aged, his memory got worse."
137,aged,adjective,b1,/e?d?d/,/e?d?d/,...岁的（处于...年龄的）,of the age of,They have two children aged six and nine.
138,agency,noun,b2,/?e?d??nsi/,/?e?d??nsi/,代理机构（提供特定服务的商业或组织，尤其是代表其他商业或组织时）,a business or an organization that provides a particular service especially when representing other businesses or organizations,She works for an advertising agency.
139,agenda,noun,b2,/??d?end?/,/??d?end?/,议程（会议上要讨论的项目清单）,a list of items to be discussed at a meeting,We have a very full agenda of issues to discuss.
140,agent,noun,b1,/?e?d??nt/,/?e?d??nt/,代理人（在商业、政治等领域代表他人行事或管理事务的人）,"a person whose job is to act for, or manage the affairs of, other people in business, politics, etc.",Our agent in New York deals with all US sales.
141,aggression,noun,c1,/??ɡre?n/,/??ɡre?n/,侵略，攻击性（可能导致威胁或暴力行为的愤怒和仇恨感）,feelings of anger and hate that may result in threatening or violent behaviour,The research shows that computer games may cause aggression.
142,aggressive,adjective,b2,/??ɡres?v/,/??ɡres?v/,侵略性的，好斗的（愤怒且表现出威胁性；准备攻击）,"angry, and behaving in a threatening way; ready to attack",Seals have been known to exhibit aggressive behaviour towards swimmers.
143,ago,adverb,a1,/??ɡ??/,/??ɡ??/,以前（用于过去时的时间表达式，表示某事发生在多久以前）,used in expressions of time with the simple past tense to show how far in the past something happened,two weeks/months/years ago
144,agree,verb,a1,/??ɡri?/,/??ɡri?/,同意（与某人意见一致；表示你有相同意见）,to have the same opinion as somebody; to say that you have the same opinion,"When he said that, I had to agree."
145,agreement,noun,b1,/??ɡri?m?nt/,/??ɡri?m?nt/,协议（与某人达成的安排、承诺或合同）,"an arrangement, a promise or a contract made with somebody",an international peace agreement
146,agricultural,adjective,c1,/??ɡr??k?lt??r?l/,/??ɡr??k?lt??r?l/,农业的（与务农的科学或实践有关的）,connected with the science or practice of farming,agricultural policy/land/production/development
147,agriculture,noun,b2,/??ɡr?k?lt??(r)/,/??ɡr?k?lt??r/,农业（务农的科学或实践）,the science or practice of farming,The number of people employed in agriculture has fallen in the last decade.
148,ah,exclamation,a2,/ɑ?/,/ɑ?/,啊（用于表示惊讶、愉快或同情，或不同意某人时）,"used to express surprise, pleasure or sympathy, or when you disagree with somebody","Ah, there you are!"
149,ahead,adverb,b1,/??hed/,/??hed/,向前（在空间或时间上更靠前；在前面）,further forward in space or time; in front,I'll run ahead and warn them.
150,aid,noun,b2,/e?d/,/e?d/,援助（派往帮助处于困境国家的金钱、食物等）,"money, food, etc. that is sent to help countries in difficult situations",humanitarian/food/medical aid
151,aid,verb,b2,/e?d/,/e?d/,援助（帮助某人/某事做某事，尤其是通过使其更容易）,"to help somebody/something to do something, especially by making it easier","aid in something, The test is designed to aid in the diagnosis of various diseases."
152,aide,noun,c1,/e?d/,/e?d/,助手（在工作中帮助他人的人，尤其是政客的助手）,"a person who helps another person, especially a politician, in their job",White House aides
153,AIDS,noun,b2,/e?dz/,/e?dz/,艾滋病（由HIV病毒引起的严重疾病，攻击身体抵抗感染的能力）,a serious illness caused by a virus called HIV that attacks the body’s ability to resist infection (the abbreviation for ‘Acquired Immune Deficiency Syndrome’),the AIDS epidemic
154,aim,noun,b1,/e?m/,/e?m/,目标（做某事的目的；某人试图达到的结果）,the purpose of doing something; what somebody is trying to achieve,the stated aims of the study 
